Carpeta,Imagen,Valvula_de_expansion,Compresor,Condensador
HIGH FAULT,1,0.0,0.0,0.0
HIGH FAULT,2,0.02,0.12,0.54
HIGH FAULT,3,0.55,0.52,2.75
HIGH FAULT,4,0.83,0.66,3.02
HIGH FAULT,5,0.75,0.48,2.63
HIGH FAULT,6,0.94,0.55,2.49
HIGH FAULT,7,1.02,0.68,2.44
HIGH FAULT,8,0.62,0.27,1.89
HIGH FAULT,9,0.83,0.49,1.95
HIGH FAULT,10,0.91,0.52,1.85
HIGH FAULT,11,1.0,0.63,1.83
HIGH FAULT,12,0.46,0.14,1.21
HIGH FAULT,13,0.74,0.46,1.45
HIGH FAULT,14,0.78,0.5,1.43
HIGH FAULT,15,0.59,0.43,1.23
HIGH FAULT,16,0.7,0.51,1.27
HIGH FAULT,17,0.59,0.51,1.14
HIGH FAULT,18,0.69,0.63,1.19
HIGH FAULT,19,0.67,0.63,1.06
HIGH FAULT,20,0.45,0.48,0.83
HIGH FAULT,21,0.72,0.86,1.07
HIGH FAULT,22,0.56,0.83,0.97
HIGH FAULT,23,0.61,1.0,1.0
HIGH FAULT,24,0.63,1.14,1.02
HIGH FAULT,25,0.65,1.2,0.92
HIGH FAULT,26,0.71,1.38,1.0
HIGH FAULT,27,0.56,1.4,0.91
HIGH FAULT,28,0.58,1.46,0.88
HIGH FAULT,29,0.56,1.57,0.88
HIGH FAULT,30,0.55,1.68,0.86
HIGH FAULT,31,0.59,1.81,0.87
HIGH FAULT,32,0.53,1.84,0.84
HIGH FAULT,33,0.6,2.0,0.92
HIGH FAULT,34,0.51,1.99,0.79
HIGH FAULT,35,0.75,2.31,0.99
HIGH FAULT,36,0.83,2.51,1.11
HIGH FAULT,37,0.35,2.12,0.64
HIGH FAULT,38,0.33,2.21,0.58
HIGH FAULT,39,0.34,2.3,0.6
HIGH FAULT,40,0.44,2.52,0.69
HIGH FAULT,41,0.49,2.71,0.8
HIGH FAULT,42,0.68,2.91,0.94
HIGH FAULT,43,0.58,2.98,0.93
HIGH FAULT,44,0.62,3.06,0.97
HIGH FAULT,45,0.79,3.29,1.13
HIGH FAULT,46,0.91,3.5,1.25
HIGH FAULT,47,0.44,3.1,0.71
HIGH FAULT,48,0.4,3.14,0.69
HIGH FAULT,49,0.56,3.43,0.93
HIGH FAULT,50,0.58,3.51,0.92
HIGH FAULT,51,0.62,3.62,0.96
HIGH FAULT,52,0.57,3.65,0.89
HIGH FAULT,53,0.72,3.86,1.09
HIGH FAULT,54,0.52,3.78,0.89
HIGH FAULT,55,0.62,4.0,1.06
HIGH FAULT,56,0.96,4.35,1.35
HIGH FAULT,57,0.7,4.21,1.07
HIGH FAULT,58,0.69,4.19,0.97
HIGH FAULT,59,0.63,4.21,0.93
HIGH FAULT,60,0.94,4.62,1.17
LOW FAULT,1,0.0,0.0,0.0
LOW FAULT,2,-0.05,-0.1,0.06
LOW FAULT,3,0.82,0.01,2.02
LOW FAULT,4,1.41,0.27,2.52
LOW FAULT,5,1.44,0.31,2.4
LOW FAULT,6,0.99,-0.13,1.74
LOW FAULT,7,0.9,-0.25,1.48
LOW FAULT,8,1.09,-0.02,1.59
LOW FAULT,9,0.87,-0.15,1.26
LOW FAULT,10,1.0,-0.02,1.31
LOW FAULT,11,1.03,0.05,1.23
LOW FAULT,12,0.96,0.07,1.18
LOW FAULT,13,0.6,-0.21,0.75
LOW FAULT,14,0.62,-0.13,0.74
LOW FAULT,15,0.65,-0.08,0.72
LOW FAULT,16,0.56,-0.08,0.61
LOW FAULT,17,0.46,-0.21,0.45
LOW FAULT,18,0.53,-0.04,0.55
LOW FAULT,19,0.52,-0.01,0.52
LOW FAULT,20,0.66,0.2,0.65
LOW FAULT,21,0.42,0.13,0.49
LOW FAULT,22,0.48,0.23,0.59
LOW FAULT,23,0.51,0.39,0.59
LOW FAULT,24,0.5,0.51,0.62
LOW FAULT,25,0.59,0.75,0.72
LOW FAULT,26,0.37,0.47,0.37
LOW FAULT,27,0.33,0.54,0.32
LOW FAULT,28,0.29,0.61,0.33
LOW FAULT,29,0.34,0.77,0.35
LOW FAULT,30,0.44,0.94,0.46
LOW FAULT,31,0.05,0.73,0.11
LOW FAULT,32,-0.08,0.68,-0.07
LOW FAULT,33,-0.02,0.89,0.06
LOW FAULT,34,0.12,1.09,0.17
LOW FAULT,35,0.05,1.19,0.17
LOW FAULT,36,0.17,1.34,0.27
LOW FAULT,37,0.26,1.54,0.35
LOW FAULT,38,0.3,1.65,0.4
LOW FAULT,39,0.38,1.86,0.49
LOW FAULT,40,0.42,2.01,0.57
LOW FAULT,41,0.16,1.88,0.38
LOW FAULT,42,0.29,2.04,0.48
LOW FAULT,43,0.19,2.06,0.38
LOW FAULT,44,0.33,2.31,0.51
LOW FAULT,45,0.21,2.29,0.41
LOW FAULT,46,0.01,2.24,0.27
LOW FAULT,47,0.23,2.44,0.42
LOW FAULT,48,0.17,2.44,0.35
LOW FAULT,49,0.35,2.72,0.6
LOW FAULT,50,0.29,2.73,0.5
LOW FAULT,51,0.38,2.95,0.68
LOW FAULT,52,0.37,2.96,0.57
LOW FAULT,53,0.67,3.37,0.94
LOW FAULT,54,0.55,3.35,0.78
LOW FAULT,55,0.48,3.36,0.74
LOW FAULT,56,0.72,3.57,0.91
LOW FAULT,57,0.88,3.78,1.09
LOW FAULT,58,0.22,3.2,0.42
LOW FAULT,59,0.49,3.6,0.76
LOW FAULT,60,0.27,3.4,0.48
HEALTHY,1,0.0,0.0,0.0
HEALTHY,2,-0.12,-0.15,1.45
HEALTHY,3,0.0,-0.12,1.73
HEALTHY,4,-0.47,-0.15,1.6
HEALTHY,5,-1.56,-0.07,1.73
HEALTHY,6,-2.15,0.01,1.8
HEALTHY,7,-2.32,0.03,1.86
HEALTHY,8,-2.51,0.04,1.69
HEALTHY,9,-2.92,-0.27,1.32
HEALTHY,10,-2.94,-0.08,1.44
HEALTHY,11,-2.71,0.37,1.77
HEALTHY,12,-2.67,0.7,1.97
HEALTHY,13,-2.95,0.78,1.81
HEALTHY,14,-2.97,1.08,1.93
HEALTHY,15,-2.88,1.59,2.22
HEALTHY,16,-2.96,1.91,2.25
HEALTHY,17,-3.17,2.08,2.15
HEALTHY,18,-3.14,2.43,2.26
HEALTHY,19,-3.29,2.63,2.18
HEALTHY,20,-3.3,2.92,2.22
HEALTHY,21,-3.25,3.26,2.41
HEALTHY,22,-3.16,3.79,2.65
HEALTHY,23,-2.96,4.31,2.86
HEALTHY,24,-3.02,4.57,2.91
HEALTHY,25,-3.09,4.86,3.0
HEALTHY,26,-2.79,5.39,3.3
HEALTHY,27,-3.32,5.31,2.94
HEALTHY,28,-3.28,5.53,2.91
HEALTHY,29,-3.09,5.98,3.1
HEALTHY,30,-3.18,6.25,3.14
HEALTHY,31,-3.21,6.42,3.07
HEALTHY,32,-3.13,6.8,3.2
HEALTHY,33,-2.96,7.15,3.39
HEALTHY,34,-2.85,7.42,3.5
HEALTHY,35,-2.7,7.76,3.7
HEALTHY,36,-2.68,8.06,3.79
HEALTHY,37,-2.95,7.87,3.46
HEALTHY,38,-2.89,8.11,3.56
HEALTHY,39,-2.95,8.19,3.51
HEALTHY,40,-2.97,8.44,3.62
HEALTHY,41,-2.96,8.62,3.59
HEALTHY,42,-2.93,8.9,3.67
HEALTHY,43,-3.0,9.1,3.64
HEALTHY,44,-2.86,9.37,3.8
HEALTHY,45,-2.81,9.53,4.03
HEALTHY,46,-2.62,9.81,4.13
HEALTHY,47,-2.62,9.87,4.14
HEALTHY,48,-2.73,9.87,4.06
HEALTHY,49,-2.68,10.02,4.08
HEALTHY,50,-2.7,10.1,4.09
HEALTHY,51,-2.69,10.22,4.29
HEALTHY,52,-2.84,10.22,4.2
HEALTHY,53,-2.51,10.4,4.45
HEALTHY,54,-2.5,10.44,4.45
HEALTHY,55,-2.54,10.49,4.64
HEALTHY,56,-2.61,10.52,4.63
HEALTHY,57,-2.63,10.59,4.75
HEALTHY,58,-2.49,10.67,4.62
HEALTHY,59,-2.44,10.67,4.56
HEALTHY,60,-2.51,10.64,4.57
HIGH FAULT,39_b1,0.3404459829296302,2.3103315560143844,0.5980453241175641
HIGH FAULT,52_b1,0.5709281703258886,3.637083771778976,0.8891321076555049
HIGH FAULT,29_b1,0.5584921907615082,1.5707654989954218,0.8764358336216755
HIGH FAULT,15_b1,0.5908774470527627,0.4496915749387614,1.2300527886727353
HIGH FAULT,43_b1,0.5799435607476999,2.9794075330071483,0.9225812645850412
HIGH FAULT,8_b1,0.61591876984713,0.2722669263893414,1.8829419225065684
HIGH FAULT,21_b1,0.7195835204645731,0.8676391868898503,1.0679808428243314
HIGH FAULT,39_b1,0.3422614920019657,2.3041644764694738,0.5961872983203411
HIGH FAULT,58_b1,0.6893719117960422,4.191583241216848,0.9785521323382488
HIGH FAULT,19_b1,0.6726081537252306,0.6212067313641103,1.0706771489394775
HIGH FAULT,23_b1,0.6126548198443581,0.9950190589835692,0.9907002975454946
HIGH FAULT,11_b1,1.001803102336161,0.6181214238266436,1.8286742897849788
HIGH FAULT,11_b1,1.0021071839688882,0.6231735398446213,1.8266536611669049
HIGH FAULT,24_b1,0.630023731547066,1.1405121329710786,1.0283136524686065
HIGH FAULT,53_b1,0.7175678031881503,3.864180440158519,1.091940569119579
HIGH FAULT,36_b1,0.830891105986708,2.5182198594496863,1.11017458185753
HIGH FAULT,40_b1,0.4447268077468184,2.541705910999592,0.6938401218479252
HIGH FAULT,24_b1,0.6263076508376684,1.165491572564734,1.0104499822465325
HIGH FAULT,3_b1,0.5498220344346836,0.532867525588012,2.746541404939491
HIGH FAULT,22_b1,0.5644632848144142,0.8316198556569564,0.9749270630796486
HIGH FAULT,53_b1,0.721607622443181,3.8633454302796895,1.0917356341851177
HIGH FAULT,2_b1,0.0177553950738225,0.098279169140484,0.5382373592981871
HIGH FAULT,24_b1,0.6303736297822323,1.1326416705580007,1.0178778866916391
HIGH FAULT,44_b1,0.6185658655885419,3.068337699510592,0.972064837545209
HIGH FAULT,30_b1,0.5483540444543532,1.680093233917782,0.8499754441351155
HIGH FAULT,38_b1,0.3285541972731599,2.220213750294023,0.5822090468894016
HIGH FAULT,2_b1,0.0197704238520205,0.1376249420659697,0.5388904157871813
HIGH FAULT,60_b1,0.9386364652911168,4.619349109159124,1.168237582090043
HIGH FAULT,21_b1,0.7215955567296585,0.8627902431372698,1.0684297275499286
HIGH FAULT,33_b1,0.5997587798469335,2.016090403608958,0.9233551833669734
HIGH FAULT,12_b1,0.4600581747650424,0.1392422459821093,1.2111832193339518
HIGH FAULT,58_b1,0.6924045066961547,4.191821144309195,0.9727991791483032
HIGH FAULT,22_b1,0.5588829790946649,0.8424250418835768,0.9715491488685328
HIGH FAULT,44_b1,0.6189162211317453,3.032071615187747,0.966156400237856
HIGH FAULT,25_b1,0.6502316665339174,1.1953755888388315,0.9177500097521388
HIGH FAULT,49_b1,0.5596180738694235,3.4101010520680632,0.9378212812657756
HIGH FAULT,27_b1,0.5628110976197843,1.4116346430061353,0.9121622441808412
HIGH FAULT,59_b1,0.6315832307749707,4.216860438832093,0.9349971063418928
HIGH FAULT,42_b1,0.681071780683835,2.9181597710224665,0.9460691902283898
HIGH FAULT,28_b1,0.5787723110529861,1.4380753001354534,0.8825279226756281
HIGH FAULT,60_b1,0.9425579956916365,4.617116073109207,1.168092222534309
HIGH FAULT,16_b1,0.7024157146070555,0.487255533229645,1.2822911506287875
HIGH FAULT,15_b1,0.5881554460421174,0.4421290486343746,1.224723447825728
HIGH FAULT,47_b1,0.443017170501445,3.091729092849733,0.7096390910910623
HIGH FAULT,51_b1,0.6199114992607943,3.628523752486279,0.9594778449989828
HIGH FAULT,44_b1,0.6198814947982652,3.0707504517172737,0.9566424521780204
HIGH FAULT,55_b1,0.6195788112479522,4.005007688512045,1.048891678843149
HIGH FAULT,52_b1,0.5731738673146045,3.6625152371659553,0.8817078800275767
HIGH FAULT,57_b1,0.7004407221937797,4.174208436729744,1.0645651233088835
HIGH FAULT,3_b1,0.5504044715898021,0.5180487927659517,2.7511414964259147
HIGH FAULT,37_b1,0.3492284648704622,2.1220155432299546,0.6480171457927663
HIGH FAULT,51_b1,0.6203057879194499,3.6104617618745247,0.9584108275944306
HIGH FAULT,7_b1,1.0170031481015565,0.6703249909958037,2.444499580447366
HIGH FAULT,21_b1,0.7192265809825458,0.8586183018655424,1.0717625298332094
HIGH FAULT,9_b1,0.8313020997748062,0.4918134721711494,1.953732653071968
HIGH FAULT,39_b1,0.3376764581336597,2.3233445424690173,0.5999507082882204
HIGH FAULT,18_b1,0.689977565205278,0.6192026147678413,1.189899834980851
HIGH FAULT,4_b1,0.8284529560801858,0.6873390601767085,3.0183282839048275
HIGH FAULT,25_b1,0.6507973205045965,1.208157061771068,0.9245789134102572
HIGH FAULT,60_b1,0.937977819368642,4.590323753628769,1.1775377366012836
HIGH FAULT,5_b2,0.7468212068235016,0.5044833496280434,2.624159141092912
HIGH FAULT,1_b2,-0.0015194114461696,0.015037339294616,0.0058598789160203
HIGH FAULT,50_b2,0.5805855950881894,3.5044379547611766,0.928781411016331
HIGH FAULT,22_b2,0.5603951347065386,0.8242171368998084,0.97363727057533
HIGH FAULT,59_b2,0.628730093483177,4.23594576548686,0.9264674869814878
HIGH FAULT,17_b2,0.5910900155823757,0.5026771998168494,1.1408211874490932
HIGH FAULT,52_b2,0.5655259632388153,3.656523767958561,0.8973734777619846
HIGH FAULT,18_b2,0.6901127183567243,0.6255863800686038,1.1980871683182368
HIGH FAULT,60_b2,0.941669062076016,4.613246182754311,1.1606291840594811
HIGH FAULT,28_b2,0.5780343070820416,1.4658184617970331,0.8836541741337484
HIGH FAULT,3_b2,0.5519915289317523,0.5228824900719956,2.754696435833452
HIGH FAULT,47_b2,0.440209065139137,3.119430267089517,0.7122525643901279
HIGH FAULT,31_b2,0.5853604585486685,1.813246405952976,0.8710994561237512
HIGH FAULT,24_b2,0.632041615056298,1.131301204810915,1.035643898205198
HIGH FAULT,1_b2,-0.0041509329098572,-0.003062399841509,0.0088144712869615
HIGH FAULT,36_b2,0.8273107623103685,2.5225675827971807,1.1121318556087862
HIGH FAULT,51_b2,0.6216847002261287,3.61274221434818,0.950421672486558
HIGH FAULT,60_b2,0.9431108405393094,4.593263039170983,1.1669299475119108
HIGH FAULT,12_b2,0.4613185770306388,0.1340301360380314,1.2096164694965816
HIGH FAULT,26_b2,0.7124095379958423,1.3988057933557978,1.0024792366976352
HIGH FAULT,2_b2,0.0180148893507272,0.1199730359761326,0.5410973874211442
HIGH FAULT,48_b2,0.3982577146687209,3.1115872781884346,0.6937291735907697
HIGH FAULT,35_b2,0.7492028872656721,2.3128720354839056,0.9923814548432096
HIGH FAULT,12_b2,0.4604829067837259,0.1219362996583523,1.2070098655748616
HIGH FAULT,3_b2,0.5503679496547524,0.5072582994041474,2.7533716604292207
HIGH FAULT,36_b2,0.8291619340304954,2.5179425065049696,1.1181523062706304
HIGH FAULT,54_b2,0.521997437367986,3.7862600045136663,0.8960881588963894
HIGH FAULT,5_b2,0.7488265590841673,0.5206051667364339,2.6312009184354417
HIGH FAULT,37_b2,0.3499093529758394,2.1080999027743403,0.6474699380545152
